Date,AAPL,AMZN,CAT,CVX,GOOGL,JNJ,JPM,KO,META,MSFT,NVDA,PFE,PG,V,XOM
2013-01-02,16.612211227416992,12.865500450134277,67.33028411865234,64.35569763183594,17.975370407104492,49.254764556884766,31.64339828491211,25.08069610595703,27.828447341918945,22.242881774902344,0.2934506833553314,14.448060989379883,47.980594635009766,35.417259216308594,52.3902587890625
2013-01-03,16.40252113342285,12.923999786376953,67.97840881347656,64.08170318603516,17.985807418823242,49.185237884521484,31.579635620117188,25.08069610595703,27.5998592376709,21.944917678833008,0.2936815321445465,14.414610862731934,47.67635726928711,35.44461441040039,52.29575729370117
2013-01-04,15.94564437866211,12.957500457763672,68.35284423828125,64.41984558105469,18.341217041015625,49.748435974121094,32.13936996459961,25.120708465576172,28.583791732788086,21.534198760986328,0.30337080359458923,14.475944519042969,47.773162841796875,35.73408126831055,52.53789520263672
2013-01-07,15.85184097290039,13.42300033569336,68.56170654296875,63.98259735107422,18.26119041442871,49.64414596557617,32.17479705810547,24.88058853149414,29.239742279052734,21.493934631347656,0.29460424184799194,14.487102508544922,47.44816970825195,35.989376068115234,51.92962646484375
2013-01-08,15.89449691772461,13.319000244140625,67.69036102294922,63.696956634521484,18.22515106201172,49.6511116027832,32.23855972290039,24.707143783569336,28.8819522857666,21.381187438964844,0.28814464807510376,14.5093994140625,47.37211227416992,36.324462890625,52.25444412231445
2013-01-09,15.646090507507324,13.317500114440918,68.0072250366211,63.86019515991211,18.34494400024414,49.87359619140625,32.217315673828125,24.700471878051758,30.402576446533203,21.50199317932129,0.28168508410453796,14.760330200195312,47.62794876098633,36.878334045410156,52.05363082885742
2013-01-10,15.840043067932129,13.267000198364258,68.46807098388672,64.40235137939453,18.428451538085938,50.193416595458984,32.69911575317383,24.653791427612305,31.108226776123047,21.308712005615234,0.2821463644504547,14.922045707702637,47.897605895996094,36.58658218383789,52.62059020996094
2013-01-11,15.742919921875,13.397000312805176,68.54727172851562,65.13690185546875,18.39142417907715,50.3046760559082,32.69202423095703,24.620437622070312,31.525651931762695,21.6066837310791,0.28168508410453796,14.788213729858398,47.86305618286133,36.734737396240234,52.921783447265625
2013-01-14,15.181634902954102,13.636500358581543,68.14402770996094,65.78985595703125,17.975370407104492,50.45068359375,32.50779342651367,24.673799514770508,30.760372161865234,21.655004501342773,0.28145429491996765,14.91089916229248,48.146549224853516,36.61849594116211,52.904075622558594
2013-01-15,14.70266342163086,13.595000267028809,68.89293670654297,66.13380432128906,18.01712417602539,50.31858825683594,32.8408203125,24.893922805786133,29.915578842163086,21.912700653076172,0.2763787806034088,14.843976020812988,48.31941223144531,36.57289505004883,52.874542236328125
2013-01-16,15.312960624694824,13.446499824523926,68.54727172851562,66.44278717041016,17.775049209594727,50.4645881652832,33.17383575439453,24.893922805786133,29.667112350463867,21.77579689025879,0.278916597366333,14.83840274810791,48.334739685058594,36.51592254638672,52.83908462524414
2013-01-17,15.20977783203125,13.52400016784668,68.9145278930664,66.89167785644531,17.678865432739258,50.687095642089844,32.90458297729492,25.02065658569336,29.955331802368164,21.944917678833008,0.28260770440101624,14.961079597473145,48.564781188964844,36.44297409057617,53.27022171020508
2013-01-18,15.128691673278809,13.605999946594238,70.29715728759766,67.18318939208984,17.50961685180664,50.91654586791992,32.91876220703125,25.147401809692383,29.478273391723633,21.944917678833008,0.28076207637786865,14.799370765686035,48.75299835205078,36.07597351074219,53.62458801269531
2013-01-22,15.273012161254883,13.509499549865723,70.3691635131836,67.57378387451172,17.468852996826172,50.54107666015625,32.97543716430664,24.76717758178711,30.54172134399414,21.864383697509766,0.2793779969215393,14.877439498901367,48.75995635986328,36.25379180908203,53.6954460144043
2013-01-23,15.552597045898438,13.405500411987305,69.74267578125,67.04908752441406,18.42894744873047,50.65232467651367,32.75580596923828,24.76717758178711,30.631168365478516,22.23482322692871,0.2798393964767456,14.860712051391602,49.27579879760742,36.25379180908203,53.565521240234375
2013-01-24,13.630949020385742,13.67300033569336,69.5626449584961,67.33475494384766,18.744840621948242,50.8261604309082,32.85500717163086,24.753843307495117,30.889575958251953,22.25093650817871,0.28122347593307495,14.9722318649292,49.087581634521484,36.370033264160156,53.94938278198242
2013-01-25,13.309619903564453,14.19950008392334,68.828125,67.74284362792969,18.73141860961914,51.39631271362305,33.41474914550781,24.71381950378418,31.346757888793945,22.452266693115234,0.2862989008426666,15.055877685546875,51.060302734375,36.43385696411133,54.1738166809082
2013-01-28,13.610675811767578,13.802000045776367,70.17474365234375,67.64958190917969,18.65834617614746,51.187721252441406,33.046295166015625,24.687129974365234,32.271060943603516,22.476415634155273,0.29091307520866394,14.966658592224121,51.422767639160156,35.63835144042969,53.80764389038086
2013-01-29,13.86605167388916,13.017499923706055,71.00286102294922,68.33164978027344,18.73166847229004,51.73699951171875,33.38639450073242,24.960622787475586,30.601354598999023,22.55695152282715,0.28468403220176697,15.446213722229004,52.28016662597656,35.709014892578125,54.19150924682617
2013-01-30,13.82247543334961,13.637999534606934,71.03887176513672,67.88858032226562,18.735395431518555,51.51448059082031,33.39350128173828,25.013994216918945,31.048595428466797,22.428096771240234,0.28422269225120544,15.47434139251709,52.33592987060547,35.33291244506836,53.547794342041016
2013-01-31,13.781933784484863,13.274999618530273,70.85165405273438,67.13069915771484,18.7816219329834,51.39631271362305,33.336814880371094,24.840557098388672,30.790185928344727,22.10598373413086,0.28283849358558655,15.344961166381836,52.39170837402344,35.99393081665039,53.13439178466797
