Date,AAPL,ABT,ADBE,AMZN,AVGO,BA,BAC,BRK-B,CAT,CMCSA,COST,CRM,CSCO,CVX,DIS,GE,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LLY,MA,MCD,META,MRK,MS,MSFT,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,SBUX,TMO,TXN,UNH,UPS,V,VZ,WFC,WMT,XOM
2014-01-02,17.156707763671875,30.3294677734375,59.290000915527344,19.898500442504883,3.9228105545043945,116.8079605102539,12.683202743530273,117.5,66.04539489746094,19.711103439331055,93.87931823730469,54.2889289855957,15.314094543457031,74.7531967163086,69.04154968261719,108.85356903076172,27.6650447845459,140.4355010986328,62.02251052856445,63.32266616821289,109.67072296142578,19.17879295349121,65.215087890625,42.38804626464844,27.901123046875,40.2846565246582,77.53852844238281,70.621826171875,54.374794006347656,32.833499908447266,22.769412994384766,30.831146240234375,33.660301208496094,0.37386393547058105,31.693416595458984,57.37598419189453,17.552268981933594,57.42349624633789,48.02293014526367,52.50562286376953,30.488340377807617,105.60558319091797,31.033859252929688,61.9122428894043,67.80572509765625,50.771446228027344,26.541257858276367,32.15822219848633,20.850990295410156,60.51833724975586
2014-01-03,16.77983856201172,30.654726028442383,59.15999984741211,19.82200050354004,3.937711000442505,117.6198959350586,12.927409172058105,117.56999969482422,66.00868225097656,19.565513610839844,93.46491241455078,54.54621505737305,15.3001708984375,74.87968444824219,68.89669799804688,108.7743911743164,27.46323585510254,141.43588256835938,61.92420959472656,63.46289825439453,110.32684326171875,19.171363830566406,65.8025131225586,42.715728759765625,27.763883590698242,40.57848358154297,77.22900390625,70.7170181274414,54.22572326660156,32.99272155761719,23.12162971496582,30.623714447021484,33.5699577331543,0.369385302066803,31.609405517578125,57.47383499145508,17.58684730529785,57.35932159423828,47.74937057495117,52.19770431518555,30.401424407958984,106.01016998291016,31.170669555664062,62.352291107177734,67.65480041503906,50.805904388427734,26.22709083557129,32.38679504394531,20.78228759765625,60.37275695800781
2014-01-06,16.871337890625,31.059328079223633,58.119998931884766,19.681499481201172,3.9108901023864746,118.29507446289062,13.12435245513916,116.27999877929688,65.1414566040039,19.54636573791504,92.75572967529297,53.66548156738281,15.321053504943848,74.68096160888672,68.63419342041016,107.90357971191406,27.76943016052246,142.4044189453125,61.32681655883789,63.39978790283203,109.94849395751953,18.93338394165039,66.14640045166016,42.96332550048828,27.63350486755371,40.9199333190918,76.84601593017578,70.21159362792969,56.849544525146484,32.999351501464844,23.202350616455078,29.976558685302734,33.311824798583984,0.3743354380130768,31.483369827270508,57.501800537109375,17.6041316986084,57.49480438232422,47.414405822753906,52.06163787841797,30.0932559967041,106.01980590820312,30.911453247070312,61.638267517089844,66.77542877197266,50.50038146972656,26.373340606689453,32.44395065307617,20.666019439697266,60.4637451171875
2014-01-07,16.75068473815918,30.82132339477539,58.970001220703125,19.901500701904297,3.9481427669525146,120.08988952636719,12.998311996459961,116.19000244140625,65.3546142578125,20.239789962768555,92.32540893554688,54.377986907958984,15.52988338470459,75.313232421875,69.10490417480469,108.02229309082031,28.304777145385742,141.5469970703125,61.6292839050293,63.659156799316406,112.14158630371094,19.03006362915039,67.55057525634766,42.468143463134766,27.715850830078125,40.64995193481445,77.91642761230469,70.59982299804688,57.56512451171875,33.24483871459961,23.128971099853516,30.208866119384766,33.337642669677734,0.38046443462371826,31.80263900756836,58.34042739868164,17.713626861572266,58.05092239379883,47.274837493896484,52.448333740234375,30.504150390625,108.18717193603516,30.74584197998047,63.52293014526367,66.99199676513672,50.88631820678711,26.703750610351562,32.42966079711914,20.72943115234375,61.319183349609375
2014-01-08,16.85676383972168,31.09900665283203,58.900001525878906,20.09600067138672,4.007003307342529,120.3548583984375,13.061333656311035,115.33999633789062,65.50892639160156,20.209144592285156,90.88307189941406,56.34727478027344,15.515969276428223,74.24141693115234,68.09104919433594,107.7056655883789,28.36368179321289,141.66604614257812,61.95444869995117,63.406776428222656,111.11302947998047,18.911073684692383,67.45745849609375,42.86865234375,27.407060623168945,40.586429595947266,77.8931655883789,69.88926696777344,57.87322998046875,33.032527923583984,23.1583194732666,29.669574737548828,33.165565490722656,0.3856503963470459,31.69342041015625,58.17267608642578,17.83463478088379,57.20960235595703,46.48766326904297,52.763427734375,30.828113555908203,109.85371398925781,31.170669555664062,62.78400802612305,66.93948364257812,51.04941940307617,26.555919647216797,32.801090240478516,20.56561279296875,61.11899185180664
2014-01-09,16.641502380371094,31.154529571533203,59.09000015258789,20.050500869750977,3.966024160385132,121.47447967529297,13.25827693939209,115.31999969482422,65.92782592773438,20.258947372436523,94.43709564208984,55.704044342041016,15.376744270324707,74.24141693115234,67.80138397216797,107.7452392578125,28.09054183959961,140.8403778076172,61.682212829589844,63.42783737182617,110.76432037353516,18.82183837890625,67.8658218383789,42.78855895996094,27.262956619262695,41.039058685302734,78.52239227294922,69.9259262084961,56.869415283203125,32.8534049987793,23.150983810424805,29.478748321533203,33.165565490722656,0.3712709844112396,31.63460350036621,57.90013122558594,17.823102951049805,57.33794403076172,46.50999069213867,52.92816925048828,30.658235549926758,109.81517028808594,31.00506591796875,63.16594696044922,67.01824951171875,50.978206634521484,26.00837516784668,32.972530364990234,20.634309768676758,60.52442932128906
2014-01-10,16.53045654296875,31.392534255981445,59.529998779296875,19.882999420166016,3.9712393283843994,121.27787780761719,13.211013793945312,114.97000122070312,66.5157470703125,20.51180076599121,93.9111557006836,56.357173919677734,15.467242240905762,72.8684310913086,68.24493408203125,106.71607971191406,28.08905029296875,141.62640380859375,62.014923095703125,63.21049118041992,110.69334411621094,18.985443115234375,67.87299346923828,42.59193801879883,27.537431716918945,41.237586975097656,77.69953918457031,70.17496490478516,57.58500289916992,33.09225082397461,22.967540740966797,29.90188980102539,33.09241485595703,0.37079957127571106,32.0211067199707,58.354408264160156,17.684814453125,57.25239181518555,46.09687042236328,52.89949417114258,30.68588638305664,110.2582778930664,31.04105567932129,62.02017593383789,67.28073120117188,50.79901885986328,26.145259857177734,32.81537628173828,20.621091842651367,60.985511779785156
2014-01-13,16.616994857788086,31.201078414916992,58.599998474121094,19.548999786376953,3.9220669269561768,120.25225830078125,12.943167686462402,114.01000213623047,66.06010437011719,19.983108520507812,91.45680236816406,55.6248779296875,15.446352005004883,71.80863952636719,66.32588195800781,105.80564880371094,27.910106658935547,139.6336212158203,61.22850036621094,62.306060791015625,108.86085510253906,18.963134765625,67.70103454589844,42.01667404174805,27.125713348388672,41.348751068115234,75.39488983154297,69.46443176269531,55.56744384765625,35.24177551269531,22.65201187133789,29.02242660522461,32.34383773803711,0.3620775640010834,31.7186336517334,57.564659118652344,17.59836769104004,57.04561996459961,46.02986526489258,52.434017181396484,29.678421020507812,108.84220886230469,30.414630889892578,61.389183044433594,65.77787780761719,50.286739349365234,25.751022338867188,32.5439453125,20.475765228271484,59.790287017822266
2014-01-14,16.947649002075195,31.56804084777832,60.369998931884766,19.87700080871582,4.118019104003906,119.66259002685547,13.211013793945312,114.95999908447266,66.55248260498047,20.23213005065918,92.6202392578125,56.91133499145508,15.599496841430664,72.00133514404297,67.3940200805664,106.75563049316406,28.566736221313477,140.2052459716797,61.258758544921875,62.670654296875,109.90122985839844,19.71422576904297,67.85865020751953,42.0457878112793,27.235506057739258,41.642578125,76.48483276367188,69.7501220703125,57.386234283447266,35.16217041015625,22.820777893066406,29.6861629486084,32.33953094482422,0.37339240312576294,32.10513687133789,57.564659118652344,17.863441467285156,57.65877151489258,46.02986526489258,52.55577850341797,29.812744140625,110.54727172851562,31.206668853759766,61.45561599731445,66.23725891113281,51.148193359375,25.778406143188477,32.565372467041016,20.599960327148438,60.1361198425293
2014-01-15,17.287906646728516,31.5361385345459,61.68000030517578,19.793500900268555,4.244682312011719,120.18391418457031,13.510364532470703,115.8499984741211,67.91204071044922,20.714845657348633,92.62821960449219,59.09834289550781,15.857037544250488,71.76647186279297,67.2401351928711,108.22021484375,28.54734992980957,141.9121856689453,61.30409240722656,63.03522872924805,110.97705078125,19.833209991455078,67.91592407226562,43.32013702392578,27.283533096313477,42.4128532409668,76.63936614990234,69.9259262084961,57.24708557128906,34.843727111816406,23.64261817932129,30.499252319335938,32.4514045715332,0.37739989161491394,32.27317428588867,57.92809295654297,17.96717071533203,57.60175323486328,46.381587982177734,53.35781478881836,30.10116958618164,111.27932739257812,31.350675582885742,62.13641357421875,66.31600189208984,51.40319061279297,26.429973602294922,33.14397048950195,20.52068519592285,59.92982482910156
